agent-type,agent-id,triadstack,tick
basic-agents,B-ID-46,[[Oil -1 TS-B-ID-46-T-ID-1] [Trade 2 TS-B-ID-46-T-ID-2] [Persec 1.3 TS-B-ID-46-T-ID-3] [Oil 1 TS-B-ID-46-T-ID-4] [Oil -2 TS-B-ID-46-T-ID-5] [Oil -1.5 TS-B-ID-46-T-ID-6]],0
basic-agents,B-ID-47,[[Oil -1 TS-B-ID-47-T-ID-1] [Trade 2 TS-B-ID-47-T-ID-2] [Persec 1.3 TS-B-ID-47-T-ID-3] [Oil 1 TS-B-ID-47-T-ID-4] [Oil -2 TS-B-ID-47-T-ID-5] [Oil -1.5 TS-B-ID-47-T-ID-6]],0
basic-agents,B-ID-48,[[Oil -1 TS-B-ID-48-T-ID-1] [Trade 2 TS-B-ID-48-T-ID-2] [Persec 1.3 TS-B-ID-48-T-ID-3] [Oil 1 TS-B-ID-48-T-ID-4] [Oil -2 TS-B-ID-48-T-ID-5] [Oil -1.5 TS-B-ID-48-T-ID-6]],0
basic-agents,B-ID-49,[[Oil -1 TS-B-ID-49-T-ID-1] [Trade 2 TS-B-ID-49-T-ID-2] [Persec 1.3 TS-B-ID-49-T-ID-3] [Oil 1 TS-B-ID-49-T-ID-4] [Oil -2 TS-B-ID-49-T-ID-5] [Oil -1.5 TS-B-ID-49-T-ID-6]],0
basic-agents,B-ID-50,[[Oil -1 TS-B-ID-50-T-ID-1] [Trade 2 TS-B-ID-50-T-ID-2] [Persec 1.3 TS-B-ID-50-T-ID-3] [Oil 1 TS-B-ID-50-T-ID-4] [Oil -2 TS-B-ID-50-T-ID-5] [Oil -1.5 TS-B-ID-50-T-ID-6]],0
basic-agents,B-ID-51,[[Oil -1 TS-B-ID-51-T-ID-1] [Trade 2 TS-B-ID-51-T-ID-2] [Persec 1.3 TS-B-ID-51-T-ID-3] [Oil 1 TS-B-ID-51-T-ID-4] [Oil -2 TS-B-ID-51-T-ID-5] [Oil -1.5 TS-B-ID-51-T-ID-6]],0
basic-agents,B-ID-52,[[Oil -1 TS-B-ID-52-T-ID-1] [Trade 2 TS-B-ID-52-T-ID-2] [Persec 1.3 TS-B-ID-52-T-ID-3] [Oil 1 TS-B-ID-52-T-ID-4] [Oil -2 TS-B-ID-52-T-ID-5] [Oil -1.5 TS-B-ID-52-T-ID-6]],0
basic-agents,B-ID-53,[[Oil -1 TS-B-ID-53-T-ID-1] [Trade 2 TS-B-ID-53-T-ID-2] [Persec 1.3 TS-B-ID-53-T-ID-3] [Oil 1 TS-B-ID-53-T-ID-4] [Oil -2 TS-B-ID-53-T-ID-5] [Oil -1.5 TS-B-ID-53-T-ID-6]],0
basic-agents,B-ID-54,[[Oil -1 TS-B-ID-54-T-ID-1] [Trade 2 TS-B-ID-54-T-ID-2] [Persec 1.3 TS-B-ID-54-T-ID-3] [Oil 1 TS-B-ID-54-T-ID-4] [Oil -2 TS-B-ID-54-T-ID-5] [Oil -1.5 TS-B-ID-54-T-ID-6]],0
basic-agents,B-ID-55,[[Oil -1 TS-B-ID-55-T-ID-1] [Trade 2 TS-B-ID-55-T-ID-2] [Persec 1.3 TS-B-ID-55-T-ID-3] [Oil 1 TS-B-ID-55-T-ID-4] [Oil -2 TS-B-ID-55-T-ID-5] [Oil -1.5 TS-B-ID-55-T-ID-6]],0
basic-agents,B-ID-56,[[Oil -1 TS-B-ID-56-T-ID-1] [Trade 2 TS-B-ID-56-T-ID-2] [Persec 1.3 TS-B-ID-56-T-ID-3] [Oil 1 TS-B-ID-56-T-ID-4] [Oil -2 TS-B-ID-56-T-ID-5] [Oil -1.5 TS-B-ID-56-T-ID-6]],0
basic-agents,B-ID-57,[[Oil -1 TS-B-ID-57-T-ID-1] [Trade 2 TS-B-ID-57-T-ID-2] [Persec 1.3 TS-B-ID-57-T-ID-3] [Oil 1 TS-B-ID-57-T-ID-4] [Oil -2 TS-B-ID-57-T-ID-5] [Oil -1.5 TS-B-ID-57-T-ID-6]],0
basic-agents,B-ID-58,[[Oil -1 TS-B-ID-58-T-ID-1] [Trade 2 TS-B-ID-58-T-ID-2] [Persec 1.3 TS-B-ID-58-T-ID-3] [Oil 1 TS-B-ID-58-T-ID-4] [Oil -2 TS-B-ID-58-T-ID-5] [Oil -1.5 TS-B-ID-58-T-ID-6]],0
basic-agents,B-ID-59,[[Oil -1 TS-B-ID-59-T-ID-1] [Trade 2 TS-B-ID-59-T-ID-2] [Persec 1.3 TS-B-ID-59-T-ID-3] [Oil 1 TS-B-ID-59-T-ID-4] [Oil -2 TS-B-ID-59-T-ID-5] [Oil -1.5 TS-B-ID-59-T-ID-6]],0
basic-agents,B-ID-60,[[Oil -1 TS-B-ID-60-T-ID-1] [Trade 2 TS-B-ID-60-T-ID-2] [Persec 1.3 TS-B-ID-60-T-ID-3] [Oil 1 TS-B-ID-60-T-ID-4] [Oil -2 TS-B-ID-60-T-ID-5] [Oil -1.5 TS-B-ID-60-T-ID-6]],0
basic-agents,B-ID-61,[[Oil -1 TS-B-ID-61-T-ID-1] [Trade 2 TS-B-ID-61-T-ID-2] [Persec 1.3 TS-B-ID-61-T-ID-3] [Oil 1 TS-B-ID-61-T-ID-4] [Oil -2 TS-B-ID-61-T-ID-5] [Oil -1.5 TS-B-ID-61-T-ID-6]],0
basic-agents,B-ID-62,[[Oil -1 TS-B-ID-62-T-ID-1] [Trade 2 TS-B-ID-62-T-ID-2] [Persec 1.3 TS-B-ID-62-T-ID-3] [Oil 1 TS-B-ID-62-T-ID-4] [Oil -2 TS-B-ID-62-T-ID-5] [Oil -1.5 TS-B-ID-62-T-ID-6]],0
basic-agents,B-ID-63,[[Oil -1 TS-B-ID-63-T-ID-1] [Trade 2 TS-B-ID-63-T-ID-2] [Persec 1.3 TS-B-ID-63-T-ID-3] [Oil 1 TS-B-ID-63-T-ID-4] [Oil -2 TS-B-ID-63-T-ID-5] [Oil -1.5 TS-B-ID-63-T-ID-6]],0
basic-agents,B-ID-64,[[Oil -1 TS-B-ID-64-T-ID-1] [Trade 2 TS-B-ID-64-T-ID-2] [Persec 1.3 TS-B-ID-64-T-ID-3] [Oil 1 TS-B-ID-64-T-ID-4] [Oil -2 TS-B-ID-64-T-ID-5] [Oil -1.5 TS-B-ID-64-T-ID-6]],0
basic-agents,B-ID-65,[[Oil -1 TS-B-ID-65-T-ID-1] [Trade 2 TS-B-ID-65-T-ID-2] [Persec 1.3 TS-B-ID-65-T-ID-3] [Oil 1 TS-B-ID-65-T-ID-4] [Oil -2 TS-B-ID-65-T-ID-5] [Oil -1.5 TS-B-ID-65-T-ID-6]],0
